action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1039256266,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7e6f8e5b-bdce-4fd2-9e7c-06e724a4d6d8,PRESERVED_SPECIMEN,,41.95,-70.2,USA,US,1879-07-21,1879,Animalia,Lumbrineridae,Marian H. Pettibone,YPM,IZ,YPM IZ 002128.AN,U.S. Fish Comm. Stmr. Speedwell,Lumbrineris fragilis,,,
identified,1039256213,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7e52514c-2b7c-424e-9192-f6cbdbbbc978,PRESERVED_SPECIMEN,,,,USA,US,1877-08-07,1877,Animalia,Euphrosinidae,Marian H. Pettibone,YPM,IZ,YPM IZ 001658.AN,U.S. Fish Comm. Stmr. Speedwell,Euphrosine borealis,,,
identified,1039256182,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7dddda48-9887-4fbe-ad64-5289553de51e,PRESERVED_SPECIMEN,1962,44.6925762,-66.8209076,Canada,CA,,,Animalia,Polynoidae,Marian H. Pettibone,YPM,IZ,YPM IZ 002362.AN,"Webster, H.",Harmothoe imbricata,,,
identified,1039256128,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7e27a852-3cf9-44ab-ba00-b290ebb1e264,PRESERVED_SPECIMEN,1962,,,Canada,CA,1872,1872,Animalia,Phyllodocidae,Marian H. Pettibone,YPM,IZ,YPM IZ 000675.AN,U.S. Fish Commission,Eteone flava,,,
identified,1039256119,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7e19f3a7-e4e5-440d-9324-cc5fe529a96a,PRESERVED_SPECIMEN,,,,USA,US,1881,1881,Animalia,Phyllodocidae,Marian H. Pettibone,YPM,IZ,YPM IZ 001717.AN,U.S. Fish Comm. Stmr. Lookout,Eulalia viridis,,,
identified,1039255809,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7d04d806-e64e-46d4-94d3-6501b19d7711,PRESERVED_SPECIMEN,,,,USA,US,1915-06,1915,Animalia,Eunicidae,Marian H. Pettibone,YPM,IZ,YPM IZ 002107.AN,"Treadwell, A. L.",Marphysa sanguinea,,,
identified,1039255744,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7c7c25f6-a799-427d-8640-4db727004296,PRESERVED_SPECIMEN,,,,USA,US,1881-07-20,1881,Animalia,Syllidae,Marian H. Pettibone,YPM,IZ,YPM IZ 001782.AN,U.S. Fish Commission,Autolytus cornutus,,,
identified,1039255703,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7bff2617-9429-4955-b634-e5a0cb25c90b,PRESERVED_SPECIMEN,,,,Bermuda,BM,1901,1901,Animalia,Eunicidae,Marian H. Pettibone,YPM,IZ,YPM IZ 001351.AN,"Verrill, A. H.",Marphysa sanguinea,,,
identified,1039255637,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7c4fd9ab-e5ad-4ced-996f-0ed41ae64e5d,PRESERVED_SPECIMEN,1962,,,Bermuda,BM,,,Animalia,Eunicidae,Marian H. Pettibone,YPM,IZ,YPM IZ 001036.AN,A. E. Verrill Bermuda Expedition 1898,Eunice filamentosa,,,
identified,1039255517,854e35e6-f762-11e1-a439-00145eb45e9a,CC0_1_0,urn:uuid:7b984ad9-5788-4f70-9829-59ba5346ee91,PRESERVED_SPECIMEN,1962,41.30723064,-72.92453112,USA,US,1875-11,1875,Animalia,Polynoidae,Marian H. Pettibone,YPM,IZ,YPM IZ 001533.AN,"Verrill, A. E.",Lepidonotus sublevis,,,
