action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID
identified,1320014145,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37c5f6cce-d358-4594-9fe3-a4a5d821f405,PRESERVED_SPECIMEN,,,,United States,US,,1969,Animalia,Phascolosomatidae,"Rice, M. E.",USNM,IZ,USNM 43345,M. Rice,Phascolosoma dentigerum,,,
identified,1319988110,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37b3a90cc-e137-473c-ac32-753ace417d68,PRESERVED_SPECIMEN,,9.4,-79.87,Panama,PA,,1971,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 102918,A. Amor & M. Rice,Aspidosiphon fischeri,,,
identified,1319972417,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37a8a2167-bd99-4767-bebf-1c514012846b,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1967,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 48966,M. Rice,Lithacrosiphon gurjanovae,,,
identified,1319964528,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37a32802d-2d46-40df-88bc-6a17d24a6c71,PRESERVED_SPECIMEN,,,,Bahamas,BS,,1967,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 96079,M. Rice,Paraspidosiphon spinososcutatus,,,
identified,1319962105,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37a15f36a-e108-45dd-9ab7-e95ddc978b11,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1967,Animalia,Phascolosomatidae,"Rice, M. E.",USNM,IZ,USNM 43367,M. Rice,Phascolosoma dentigerum,,,
identified,1319878382,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/3765f218c-0f0e-468f-87cf-ae08d32dde61,PRESERVED_SPECIMEN,,,,Jamaica,JM,,1967,Animalia,Golfingiidae,"Rice, M. E.",USNM,IZ,USNM 103027,M. Rice,Golfingia pellucida,,,
identified,1319874365,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/376329ec8-6d15-45a1-a816-d8cb7c22ef31,PRESERVED_SPECIMEN,,,,Puerto Rico,PR,,1967,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 119583,M. Rice,Aspidosiphon (Aspidosiphon) brocki,,,
identified,1319870619,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/37606609b-04e6-4be0-ab94-2872ee8cff4e,PRESERVED_SPECIMEN,,,,United States,US,,1969,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 48930,M. Rice,Aspidosiphon (Aspidosiphon) brocki,,,
identified,1319865678,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/375ce1394-4e3f-4eba-9a82-a5127422ad5e,PRESERVED_SPECIMEN,,,,Netherlands Antilles,ZZ,,1967,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 48980,M. Rice,Lithacrosiphon gurjanovae,,,
identified,1319865651,821cc27a-e3bb-4bc5-ac34-89ada245069d,CC0_1_0,http://n2t.net/ark:/65665/375cdf0bd-5eb8-4c83-9ac3-468196967c7f,PRESERVED_SPECIMEN,,,,Barbados,BB,,1969,Animalia,Aspidosiphonidae,"Rice, M. E.",USNM,IZ,USNM 100902,M. Rice,Paraspidosiphon fischeri,,,
